wellName,datasetName,DEPTH,GR,NPHI,RHOB,RT
BEKOK DEEP-1RDR1 ST1,EDIT,950.214,86.56999969,0.318699986,2.193500042,2.460000038
BEKOK DEEP-1RDR1 ST1,EDIT,950.3664,69.08999634,0.309300005,2.152899981,2.400000095
BEKOK DEEP-1RDR1 ST1,EDIT,950.5188,70.70999908,0.330900013,2.214900017,2.24000001
BEKOK DEEP-1RDR1 ST1,EDIT,950.6712,79.31999969,0.285400003,2.315399885,2.160000086
BEKOK DEEP-1RDR1 ST1,EDIT,950.8236,85.73000336,0.279199988,2.347300053,2.130000114
BEKOK DEEP-1RDR1 ST1,EDIT,950.976,95.63999939,0.285400003,2.3756001,2.180000067
BEKOK DEEP-1RDR1 ST1,EDIT,951.1284,92.80000305,0.285699993,2.379100084,2.279999971
BEKOK DEEP-1RDR1 ST1,EDIT,951.2808,88.01000214,0.28459999,2.372400045,2.369999886
BEKOK DEEP-1RDR1 ST1,EDIT,951.4332,83.31999969,0.278400004,2.366300106,2.430000067
BEKOK DEEP-1RDR1 ST1,EDIT,951.5856,89.04000092,0.281899989,2.362200022,2.460000038
BEKOK DEEP-1RDR1 ST1,EDIT,951.738,94.47000122,0.295300007,2.403100014,2.450000048
BEKOK DEEP-1RDR1 ST1,EDIT,951.8904,94.51999664,0.306499988,2.40019989,2.440000057
BEKOK DEEP-1RDR1 ST1,EDIT,952.0428,89.22000122,0.306800008,2.364200115,2.430000067
BEKOK DEEP-1RDR1 ST1,EDIT,952.1952,99.55999756,0.300900012,2.318500042,2.430000067
BEKOK DEEP-1RDR1 ST1,EDIT,952.3476,87.70999908,0.302300006,2.311199903,2.430000067
BEKOK DEEP-1RDR1 ST1,EDIT,952.5,87.23999786,0.315100014,2.306600094,2.460000038
BEKOK DEEP-1RDR1 ST1,EDIT,952.6524,84.30000305,0.310099989,2.290199995,2.480000019
BEKOK DEEP-1RDR1 ST1,EDIT,952.8048,75.26999664,0.323300004,2.323199987,2.49000001
BEKOK DEEP-1RDR1 ST1,EDIT,952.9572,90.30000305,0.31310001,2.344000101,2.49000001
BEKOK DEEP-1RDR1 ST1,EDIT,953.1096,89.47000122,0.314399987,2.336299896,2.440000057
BEKOK DEEP-1RDR1 ST1,EDIT,953.262,99.63999939,0.331900001,2.335500002,2.380000114
BEKOK DEEP-1RDR1 ST1,EDIT,953.4144,103.9599991,0.344099998,2.320800066,2.309999943
BEKOK DEEP-1RDR1 ST1,EDIT,953.5668,105.4700012,0.337199986,2.297499895,2.230000019
BEKOK DEEP-1RDR1 ST1,EDIT,953.7192,119.6500015,0.323900014,2.285200119,2.119999886
BEKOK DEEP-1RDR1 ST1,EDIT,953.8716,107.9100037,0.304800004,2.280900002,2.119999886
BEKOK DEEP-1RDR1 ST1,EDIT,954.024,89.63999939,0.305599988,2.289400101,2.180000067
BEKOK DEEP-1RDR1 ST1,EDIT,954.1764,109.6699982,0.310499996,2.287100077,2.190000057
BEKOK DEEP-1RDR1 ST1,EDIT,954.3288,98.69000244,0.311100006,2.269299984,2.210000038
BEKOK DEEP-1RDR1 ST1,EDIT,954.4812,83.38999939,0.33039999,2.245100021,2.200000048
BEKOK DEEP-1RDR1 ST1,EDIT,954.6336,92.40000153,0.333200008,2.261399984,2.180000067
BEKOK DEEP-1RDR1 ST1,EDIT,954.786,95.91000366,0.32069999,2.301500082,2.170000076
BEKOK DEEP-1RDR1 ST1,EDIT,954.9384,99.80000305,0.330199987,2.319600105,2.170000076
BEKOK DEEP-1RDR1 ST1,EDIT,955.0908,100.1299973,0.3301,2.318799973,2.180000067
BEKOK DEEP-1RDR1 ST1,EDIT,955.2432,100.0599976,0.327699989,2.34010005,2.25999999
BEKOK DEEP-1RDR1 ST1,EDIT,955.3956,91.76000214,0.348699987,2.332700014,2.349999905
BEKOK DEEP-1RDR1 ST1,EDIT,955.548,93.12999725,0.35679999,2.296600103,2.289999962
BEKOK DEEP-1RDR1 ST1,EDIT,955.7004,94.76000214,0.341800004,2.319200039,2.019999981
BEKOK DEEP-1RDR1 ST1,EDIT,955.8528,92.20999908,0.330799997,2.3052001,1.799999952
BEKOK DEEP-1RDR1 ST1,EDIT,956.0052,92.52999878,0.346500009,2.325400114,1.74000001
BEKOK DEEP-1RDR1 ST1,EDIT,956.1576,91.26999664,0.33070001,2.374000072,1.730000019
BEKOK DEEP-1RDR1 ST1,EDIT,956.31,85.5,0.326200008,2.366899967,1.769999981
BEKOK DEEP-1RDR1 ST1,EDIT,956.4624,90.48000336,0.326999992,2.368799925,1.860000014
BEKOK DEEP-1RDR1 ST1,EDIT,956.6148,96.44000244,0.337599993,2.343300104,2.069999933
BEKOK DEEP-1RDR1 ST1,EDIT,956.7672,81.69999695,0.317699999,2.276900053,2.170000076
BEKOK DEEP-1RDR1 ST1,EDIT,956.9196,83.58999634,0.298700005,2.22300005,2.220000029
BEKOK DEEP-1RDR1 ST1,EDIT,957.072,80.98999786,0.299199998,2.216799974,2.24000001
BEKOK DEEP-1RDR1 ST1,EDIT,957.2244,80.65000153,0.300799996,2.232899904,2.24000001
BEKOK DEEP-1RDR1 ST1,EDIT,957.3768,74.05999756,0.321500003,2.214400053,2.269999981
BEKOK DEEP-1RDR1 ST1,EDIT,957.5292,73.58000183,0.296200007,2.215899944,2.299999952
BEKOK DEEP-1RDR1 ST1,EDIT,957.6816,68.72000122,0.293099999,2.21420002,2.349999905
BEKOK DEEP-1RDR1 ST1,EDIT,957.834,76.72000122,0.305999994,2.221199989,2.380000114
BEKOK DEEP-1RDR1 ST1,EDIT,957.9864,82.72000122,0.300700009,2.227699995,2.369999886
BEKOK DEEP-1RDR1 ST1,EDIT,958.1388,73.04000092,0.302599996,2.213799953,2.349999905
BEKOK DEEP-1RDR1 ST1,EDIT,958.2912,84.69000244,0.318199992,2.199700117,2.349999905
BEKOK DEEP-1RDR1 ST1,EDIT,958.4436,79.34999847,0.304399997,2.174599886,2.359999895
BEKOK DEEP-1RDR1 ST1,EDIT,958.596,79.55999756,0.288500011,2.226599932,2.400000095
BEKOK DEEP-1RDR1 ST1,EDIT,958.7484,78.30999756,0.290800005,2.230499983,2.480000019
BEKOK DEEP-1RDR1 ST1,EDIT,958.9008,72.80000305,0.282799989,2.24029994,2.519999981
BEKOK DEEP-1RDR1 ST1,EDIT,959.0532,85.33999634,0.275599986,2.273000002,2.420000076
BEKOK DEEP-1RDR1 ST1,EDIT,959.2056,99.93000031,0.282499999,2.295799971,2.420000076
